X,Measure.overall,Measure,Study,Tonal_N,Non_tonal_N,Tonal.Mean,Tonal.SD,Non.tonal.Mean,Non.tonal.SD,Cohen.s.D,Criteria,Measure.Description,Measure.Classification,Music.Lesson,Notes,Flip,Tonal_language,Comparison_language,sd_pool,cohen_d,total_n,hedge_g,se_smd,se_g,var_smd,var_g
18,Montreal Battery of Evaluation of Amusia,Melody combined,Chen et al. (2016),42,42,0.89,0.08,0.84,0.08,NA,Overall Accuracy,"three subtests aimed at pitch processing (scale, contour, and interval), three on rhythm and short-memory; half same, half different",Melodic,no significant difference in musical training across groups,MBEA accuracy,NA,Mandarin,Dutch,0.08,0.447911244,84,0.443801967,0.220966047,0.220916173,0.048825994,0.048803956
19,Musical Ear Test,Musical Ear Test,Chen et al. (2016),42,42,0.78,0.06,0.7,0.1,NA,Overall Accuracy,"first subtests at discrimination between musical melodies, second subtest at discrimination between different rhythms; half same, half different",Melodic,no significant differences in musical training across two groups,"MET accuracy, there is also break down of mean and sd for subtest scale, contour, and interval",NA,Mandarin,Dutch,0.082462113,0.9701425,84,0.96124211,0.230697396,0.230475523,0.053221289,0.053118967
22,Pitch change detection,Pitch change detection,Peretz et al. (2011),24,25,0.2569,0.14974,0.3287,0.12753,NA,,"21 different sequences, each containing 5 successive tones. All tones played at C6 for standard trial. In conparison sequence, fourth tone was altered, 1.56 cents to 25 cents. Participants indicate yes or no for change",Fine-tuned,both groups matched in terms of musical training experience; on average two years ,"overall rejection rate did not differ signidicantly, t(47) = 1.28, p = 0.21; tonal speakers however performed significantly worse on several categories of tasks when being looked at individually; manuscript only has error bars for more detailed breakdowns (ie different cents of pitch change)",NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.138843336,-0.486990015,49,-0.479177341,0.29021118,0.290071199,0.084222529,0.0841413
23,Montreal Battery of Evaluation of Amusia,Melody combined,Peretz et al. (2011),24,25,0.85,0.06,0.87,0.06,NA,% correct responses,"Six tests with each containing 30 same-different classification trials in which a standard melody was followed by a comparison melody; 3 tests for melody, for different trials, one note was altered ( out of scale, out of contour, out of interval); three t",Melodic,"both groups matched in terms of musical training experience, on average two years ","no significant group effect, F(1, 47) = 1.66, p = 0.20, however, see Table 2 for breakdown of specific tests, non-tonal speakers performed better on out of the scale melody comparison test, while the two groups did not differ significantly on contour and interval melody comparison tasks",NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.06,-0.485405934,49,-0.477618673,0.290102805,0.289966134,0.084159638,0.084080359
24,Montreal Battery of Evaluation of Amusia,Rhythm,Peretz et al. (2011),24,25,0.9,0.07,0.88,0.09,NA,% correct responses,,Rhythm,,ns,NA,"Mandarin, Cantonese, or Vietnamese",Unspecified (mostly French),0.080833425,0.247422401,49,0.243453057,0.286864669,0.286830013,0.082291339,0.082271456
27,F0 difference limens,F0 difference limens,Bidelman et al. (2013),18,18,0.935919,0.515644,3.532267,3.526683,NA,F0 DL (%)- minimum percent of change,"3AFC, three sequential intervals, two containing an indentical reference tone and one contains a higher comparison; identify the interval that contains the higher sounding pitch; deltaF0 calculated using adaptive algorithm",Fine-tuned,18 non-tonal language speaking musicians were also included in the study but not included here,tonal speakers did better than non-tonal speakers; lower value means better performance,TRUE,Cantonese,English,2.52025611,-1.030192126,36,1.007298968,0.354755311,0.353841051,0.125851331,0.125203489
30,Melody discrimination,Melody discrimination,Bidelman et al. (2013),18,18,NA,NA,NA,NA,NA,,"forty pairs of short tonal melodies (6 notes each); half contained melody pairs that were identical, other half contained melodies in which a single tone was detuned (sharp or flat by 1/2 or 1/4 semitones)",Fine-tuned,18 non-tonal language speaking musicians were also included in the study but not included here,tonal speakers did better on the 1/2 semitone trials but not 1/4 semitone trials,NA,Cantonese,English,NA,0.453598782,36,0.443518809,0.344323417,0.343854291,0.118558616,0.118235774
31,F0 difference limens,F0 difference limens,Hutka et al. (2015),18,21,1.18,0.47,3.67,4.12,NA,F0 DL (%)- minimum percent of change,Same as Bidelman 2013 F0 difference task,Fine-tuned,21 non-tonal musicians were included in the study but not here,"tonal speakers outperformed non-tonal speakers, p = 0.003; T_se = 0.11,NT_se = 0.9",TRUE,Cantonese,English,3.045791514,-0.817521485,39,0.800837373,0.334279946,0.333761767,0.111743082,0.111396917
32,Pitch height discrimination task,Pitch height discrimination task,Tong et al. (2018),15,15,3.061,0.74463,2.5298,1.06628,NA,Sensitivity d',"AX discrimination paradigm, C4 followed by either C4 or C4 deviant by 7, 13, 25, 50, 100 (1 semitone), and 200 cents; participants judge whether two tones are same or difference, 144 trials with 72 same",Fine-tuned,15 musicians for both non-tonal and tonal groups were included in the study but not here,Results are not broken down separately by musical experience. Overall no difference but musical training interacts with language; sensitivity index d',NA,Cantonese,English,0.919626793,0.577625624,30,0.562014121,0.372685108,0.372287073,0.138894189,0.138597665
33,Pitch interval discrimination task,Pitch interval discrimination task,Tong et al. (2018),15,15,0.5308,0.39491,0.7173,0.5725,NA,Sensitivity d',"standard and target stimuli each containing two notes; standard has C4 and G4, target starts with F#4 followed by another; C#5 would be identical interval, different intervals C5 altered by 7, 13, 25, 50, 100, or 200 cents",Fine-tuned,15 musicians for both non-tonal and tonal groups were included in the study but not here,"Again, results not broken down by musical experience; the authors claimed that overall there's no difference in performance; however, musical training improved performance of tonal speakers only",NA,Cantonese,English,0.491787636,-0.379228729,30,-0.368979304,0.368415853,0.368242351,0.13573024,0.135602429
34,Mistuning detection (Study2),Mistuning detection (Study2),Wong et al. (2012),22,26,78.26,8.41,73.45,13.08,NA,% correct,"pitch of the same downbeat as off-beat was mistuned by a quarter tone without tonal/syntactic violation (unlike Study 1 to get rid of ceiling effect); 12 congruent, 12 incongruent",Fine-tuned,did not differ in musical training significantly,no significant group differences,NA,Cantonese,English,11.19243737,0.429754471,48,0.422709316,0.292984516,0.292877734,0.085839927,0.085777367
35,Off-beat detection (Study2),Off-beat detection (Study2),Wong et al. (2012),22,26,86.93,13.15,89.05,7.68,NA,% correct,"half the melodies contain a silence of 5/7 of the beat duration prior to the first downbeat in the third bar of the four bar melody, 12 congruent pairs, 12 incongruent pairs",Rhythm,did not differ in musical training significantly,no significant group differences,NA,Cantonese,English,10.53558411,-0.201222825,48,-0.19792409,0.290409816,0.290386201,0.084337861,0.084324146
36,Out-of-key detection,Out-of-key detection,Wong et al. (2012),408,154,91.1,8.5,86.3,11.3,NA,% correct,"the pitch of the same downbeat violated the tonal/syntactic relationship when considering the rest of the melody, 12 congruent pairs, 12 incongruent pairs",Melodic,There seems to be a slight difference in training but the out of key scores were adjusted based on that ,tonal speaker advantage,NA,Cantonese,English or French,9.348636264,0.513443872,562,0.512755917,0.095807246,0.095803968,0.009179028,0.0091784
37,Off-beat detection (Study1),Off-beat detection (Study1),Wong et al. (2012),408,154,84,8.8,84.2,8.7,NA,% correct,"half the melodies contain a silence of 5/7 of the beat duration prior to the first downbeat in the third bar of the four bar melody, 12 congruent pairs, 12 incongruent pairs",Rhythm,Slight differences across groups; Cantonese speakers had on average a bit more training ,no significant group differences,NA,Cantonese,English or French,8.772791745,-0.02279776,562,-0.022767214,0.094577742,0.094577735,0.008944949,0.008944948
38,Mistuned detection (Study1),Mistuned detection (Study1),Wong et al. (2012),408,154,94.2,6.6,94.2,7.4,NA,% correct,"pitch of the same downbeat as off-beat was mistuned by a quarter tone with tonal & syntactic violation; 12 congruent, 12 incongruent",Fine-tuned,Slight differences across groups; Cantonese speakers had on average a bit more training ,no significant group differences. Note that this task includes both mistuning and beat misalignment,NA,Cantonese,English or French,6.827884006,0,562,0,0.094575297,0.094575297,0.008944487,0.008944487
39,Montreal Battery of Evaluation of Amusia,Melody combined,Ngo et al. (2016),8,8,87,6,80,5,NA,% correct,"scale, contour, interval, rhythm, meter, memory subtests",Melodic,8 musicians for each group was included in study but not here,tonal speaker advantage overall,NA,Vietnamese,English,5.522680509,1.808061184,16,1.709439665,0.595284507,0.585956853,0.354363644,0.343345433
40,Montreal Battery of Evaluation of Amusia,Rhythm,Ngo et al. (2016),8,8,86,8,80,6,NA,% correct,,Rhythm,,,NA,Vietnamese,English,7.071067812,0.848528137,16,0.802244784,0.522015325,0.519723385,0.2725,0.270112397
43,Interval discrimination/Musical Task,Interval discrimination/Musical Task,Stevens et al. (2013),24,24,0.91,0.09,0.89,0.11,NA,% correct,"descending and ascending major and minor musical intervals; 12 same and 12 different interval combos (4 contour and interval differed, 4 interval differed, 4 contour differed)",Melodic,participants had little to no musical training,no significant group difference; unit. is accuracy,NA,Thai,English,0.100498756,0.199007438,48,0.195745021,0.289388795,0.289365616,0.083745875,0.08373246
44,Frequency discrimination,Frequency discrimination,Stevens et al. (2013),24,24,11.08,6.08,13.4,6.96,NA,Minimum discernable difference (Hz),tones ranged from 392 to 416 Hz by steps of 2Hz. All tones are paired with lowest tone,Fine-tuned,participants had little to no musical training,no significant group difference; unit is minimum discernable difference (Hz),TRUE,Thai,English,6.534829761,-0.355020725,48,0.349200713,0.290940281,0.2908669,0.084646247,0.084603554
45,Musical Ear Test,Melodic subset,Choi (2021),30,30,74.8077,6.27431,66.1538,11.23155,NA,Accuracy,,Melodic,musicians excluded,,NA,Cantonese,English,9.097106171,0.951280532,60,0.93892624,0.272411066,0.272053648,0.074207789,0.074013187
46,Musical Ear Test,Rhythm subset,Choi (2021),30,30,68.0128,9.77302,67.6923,10.5016,NA,Accuracy,,Rhythm,musicians excluded,,NA,Cantonese,English,10.14385337,0.031595488,60,0.031185157,0.258214999,0.258214583,0.066674986,0.066674771
47,Relative pitch recognition ,Relative pitch recognition,Hove et al. (2010),24,14,0.565770808,0.188910828,0.4553571,0.08506107,NA,% correct,,Melodic,non-musicians   ,,NA,Chinese or Hmong,English,0.159414549,0.692620023,38,0.678089533,0.345553724,0.345174317,0.119407376,0.119145309
48,Pitch Discrimination,Pitch Discrimination,Jasmin et al. (2021),31,62,15.75208,11.046897,20.91505387,13.19276398,NA,Threshold,,Fine-tuned,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,12.52602053,-0.412179899,93,0.408773453,0.22203715,0.22200329,0.049300496,0.049285461
49,Duration Discrimination,Duration Discrimination,Jasmin et al. (2021),31,62,28.95169,12.75553,26.00145677,13.9838033,NA,Threshold,,Rhythm,We excluded participants with more than three years of musical training,,TRUE,Chinese,English or Spanish,13.59114871,0.21707019,93,-0.215276221,0.220545749,0.220536295,0.048640427,0.048636257
